None,ticker,date,open,high,low,close,volume,dividends,closeunadj,lastupdated
5256,SPY,2000-03-09,137.25,140.875,136.125,140.875,5500900.0,0.0,140.875,2020-08-06
5257,SPY,2000-03-08,136.469,137.844,135.031,136.875,11808500.0,0.0,136.875,2020-08-06
5258,SPY,2000-03-07,140.0,140.156,135.219,137.047,20062000.0,0.0,137.047,2020-08-06
5259,SPY,2000-03-06,140.813,141.344,138.75,139.75,11967100.0,0.0,139.75,2020-08-06
5260,SPY,2000-03-03,140.438,141.719,139.719,141.125,12770300.0,0.0,141.125,2020-08-06
5261,SPY,2000-03-02,138.688,139.125,137.344,138.531,7600200.0,0.0,138.531,2020-08-06
5262,SPY,2000-03-01,137.625,139.0,137.219,138.438,6868000.0,0.0,138.438,2020-08-06
5263,SPY,2000-02-29,136.063,137.438,135.75,137.438,8242500.0,0.0,137.438,2020-08-06
5264,SPY,2000-02-28,133.375,136.688,132.719,136.125,13397800.0,0.0,136.125,2020-08-06
5265,SPY,2000-02-25,135.188,136.719,133.125,133.328,10559900.0,0.0,133.328,2020-08-06
5266,SPY,2000-02-24,136.688,137.031,133.094,133.813,17375000.0,0.0,133.813,2020-08-06
5267,SPY,2000-02-23,135.625,137.469,134.5,136.563,12119000.0,0.0,136.563,2020-08-06
5268,SPY,2000-02-22,135.188,136.344,133.531,134.969,16415400.0,0.0,134.969,2020-08-06
5269,SPY,2000-02-18,138.875,138.875,134.625,135.313,9409200.0,0.0,135.313,2020-08-06
5270,SPY,2000-02-17,140.438,140.438,138.219,138.281,7584200.0,0.0,138.281,2020-08-06
5271,SPY,2000-02-16,140.375,140.938,138.797,139.0,8845400.0,0.0,139.0,2020-08-06
5272,SPY,2000-02-15,139.25,141.219,137.797,141.078,11078300.0,0.0,141.078,2020-08-06
5273,SPY,2000-02-14,139.781,139.781,138.313,139.5,8528800.0,0.0,139.5,2020-08-06
5274,SPY,2000-02-11,141.844,141.938,138.031,138.688,9849800.0,0.0,138.688,2020-08-06
5275,SPY,2000-02-10,141.625,142.563,140.875,141.563,6690600.0,0.0,141.563,2020-08-06
5276,SPY,2000-02-09,144.469,144.469,141.266,141.281,8511500.0,0.0,141.281,2020-08-06
5277,SPY,2000-02-08,143.969,144.563,143.625,144.313,4936400.0,0.0,144.313,2020-08-06
5278,SPY,2000-02-07,142.563,142.781,141.438,142.375,5845800.0,0.0,142.375,2020-08-06
5279,SPY,2000-02-04,143.188,144.0,142.125,142.594,4925400.0,0.0,142.594,2020-08-06
5280,SPY,2000-02-03,140.875,143.25,140.0,143.188,7997500.0,0.0,143.188,2020-08-06
5281,SPY,2000-02-02,141.281,142.25,140.375,141.063,6205900.0,0.0,141.063,2020-08-06
5282,SPY,2000-02-01,139.75,141.688,138.531,140.938,8419900.0,0.0,140.938,2020-08-06
5283,SPY,2000-01-31,135.813,139.672,135.0,139.563,10768700.0,0.0,139.563,2020-08-06
5284,SPY,2000-01-28,139.438,140.063,135.531,135.875,11916200.0,0.0,135.875,2020-08-06
5285,SPY,2000-01-27,141.844,142.219,138.125,140.25,10922700.0,0.0,140.25,2020-08-06
5286,SPY,2000-01-26,141.0,141.547,140.094,140.813,5158100.0,0.0,140.813,2020-08-06
5287,SPY,2000-01-25,140.516,141.938,139.0,141.938,9942500.0,0.0,141.938,2020-08-06
5288,SPY,2000-01-24,145.656,145.844,139.406,140.344,7896900.0,0.0,140.344,2020-08-06
5289,SPY,2000-01-21,145.5,145.5,144.063,144.438,6244800.0,0.0,144.438,2020-08-06
5290,SPY,2000-01-20,146.969,146.969,143.813,144.75,5800100.0,0.0,144.75,2020-08-06
5291,SPY,2000-01-19,145.313,147.0,145.0,147.0,6157900.0,0.0,147.0,2020-08-06
5292,SPY,2000-01-18,145.344,146.625,145.188,145.813,6488500.0,0.0,145.813,2020-08-06
5293,SPY,2000-01-14,146.531,147.469,145.969,146.969,7437300.0,0.0,146.969,2020-08-06
5294,SPY,2000-01-13,144.469,145.75,143.281,145.0,5158300.0,0.0,145.0,2020-08-06
5295,SPY,2000-01-12,144.594,144.594,142.875,143.063,6907700.0,0.0,143.063,2020-08-06
5296,SPY,2000-01-11,145.813,146.094,143.5,144.5,7503700.0,0.0,144.5,2020-08-06
5297,SPY,2000-01-10,146.25,146.906,145.031,146.25,5741700.0,0.0,146.25,2020-08-06
5298,SPY,2000-01-07,140.313,145.75,140.063,145.75,8066500.0,0.0,145.75,2020-08-06
5299,SPY,2000-01-06,139.625,141.5,137.75,137.75,6227200.0,0.0,137.75,2020-08-06
5300,SPY,2000-01-05,139.938,141.531,137.25,140.0,12177900.0,0.0,140.0,2020-08-06
5301,SPY,2000-01-04,143.531,144.063,139.641,139.75,8089800.0,0.0,139.75,2020-08-06
5302,SPY,2000-01-03,148.25,148.25,143.875,145.438,8164300.0,0.0,145.438,2020-08-06
5303,SPY,1999-12-31,146.844,147.5,146.25,146.875,3172700.0,0.0,146.875,2020-08-06
5304,SPY,1999-12-30,147.125,147.563,146.188,146.641,3641300.0,0.0,146.641,2020-08-06
5305,SPY,1999-12-29,146.313,146.813,145.313,146.813,3001000.0,0.0,146.813,2020-08-06
5306,SPY,1999-12-28,145.875,146.5,145.484,146.188,4084500.0,0.0,146.188,2020-08-06
5307,SPY,1999-12-27,146.5,146.781,145.063,146.281,2691000.0,0.0,146.281,2020-08-06
5308,SPY,1999-12-23,145.016,146.484,145.0,146.484,5721700.0,0.0,146.484,2020-08-06
5309,SPY,1999-12-22,143.625,144.188,142.969,144.188,5377500.0,0.0,144.188,2020-08-06
5310,SPY,1999-12-21,141.594,144.063,141.344,143.813,7981300.0,0.0,143.813,2020-08-06
5311,SPY,1999-12-20,142.563,143.188,141.094,141.656,4608700.0,0.0,141.656,2020-08-06
5312,SPY,1999-12-17,143.0,143.313,142.063,142.688,4775400.0,0.348,142.688,2020-08-06
5313,SPY,1999-12-16,142.188,142.656,141.156,142.125,5854900.0,0.0,142.125,2020-08-06
5314,SPY,1999-12-15,140.375,142.203,140.031,141.5,6879100.0,0.0,141.5,2020-08-06
5315,SPY,1999-12-14,141.625,142.484,140.625,140.75,5739000.0,0.0,140.75,2020-08-06
5316,SPY,1999-12-13,141.438,142.719,141.281,142.125,4210800.0,0.0,142.125,2020-08-06
5317,SPY,1999-12-10,142.281,142.813,140.875,141.875,5127300.0,0.0,141.875,2020-08-06
5318,SPY,1999-12-09,141.813,142.219,139.375,141.406,6474700.0,0.0,141.406,2020-08-06
5319,SPY,1999-12-08,141.344,142.063,140.5,140.719,4611400.0,0.0,140.719,2020-08-06
5320,SPY,1999-12-07,143.281,143.313,141.375,141.625,10714200.0,0.0,141.625,2020-08-06
5321,SPY,1999-12-06,143.531,143.719,142.25,142.781,3138900.0,0.0,142.781,2020-08-06
5322,SPY,1999-12-03,143.031,145.344,143.031,143.844,10045400.0,0.0,143.844,2020-08-06
5323,SPY,1999-12-02,140.625,141.375,140.375,141.25,6698300.0,0.0,141.25,2020-08-06
5324,SPY,1999-12-01,139.313,140.5,139.0,140.406,6980200.0,0.0,140.406,2020-08-06
5325,SPY,1999-11-30,140.75,142.313,139.0,139.281,7682000.0,0.0,139.281,2020-08-06
5326,SPY,1999-11-29,140.875,141.922,140.438,140.938,7348600.0,0.0,140.938,2020-08-06
5327,SPY,1999-11-26,142.469,142.875,141.25,141.438,1693900.0,0.0,141.438,2020-08-06
5328,SPY,1999-11-24,140.75,142.438,140.0,141.969,4459700.0,0.0,141.969,2020-08-06
5329,SPY,1999-11-23,142.844,142.844,140.375,141.219,5918000.0,0.0,141.219,2020-08-06
5330,SPY,1999-11-22,142.438,143.0,141.5,142.469,4155400.0,0.0,142.469,2020-08-06
5331,SPY,1999-11-19,142.406,142.969,142.0,142.5,4832100.0,0.0,142.5,2020-08-06
5332,SPY,1999-11-18,142.438,143.0,141.625,142.625,4491000.0,0.0,142.625,2020-08-06
5333,SPY,1999-11-17,142.25,142.938,141.313,141.625,9459000.0,0.0,141.625,2020-08-06
5334,SPY,1999-11-16,140.563,143.0,140.094,141.25,7544800.0,0.0,141.25,2020-08-06
5335,SPY,1999-11-15,139.844,140.25,139.406,140.078,2187500.0,0.0,140.078,2020-08-06
5336,SPY,1999-11-12,139.25,139.984,137.125,139.75,11802900.0,0.0,139.75,2020-08-06
5337,SPY,1999-11-11,138.188,138.5,137.469,138.5,4794100.0,0.0,138.5,2020-08-06
5338,SPY,1999-11-10,136.25,138.391,136.078,137.719,6405600.0,0.0,137.719,2020-08-06
5339,SPY,1999-11-09,138.5,138.688,136.281,136.703,4533700.0,0.0,136.703,2020-08-06
5340,SPY,1999-11-08,137.0,138.375,136.75,138.0,4649200.0,0.0,138.0,2020-08-06
5341,SPY,1999-11-05,138.625,139.109,136.781,137.875,7431500.0,0.0,137.875,2020-08-06
5342,SPY,1999-11-04,136.75,137.359,135.766,136.531,7907500.0,0.0,136.531,2020-08-06
5343,SPY,1999-11-03,136.0,136.375,135.125,135.5,7222300.0,0.0,135.5,2020-08-06
5344,SPY,1999-11-02,135.969,137.25,134.594,134.594,6516900.0,0.0,134.594,2020-08-06
5345,SPY,1999-11-01,136.5,137.0,135.563,135.563,4006500.0,0.0,135.563,2020-08-06
